0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
18:23:09,49.8,76.3,54.7,73.6,56.2,72.3,57.4,72.0,56.7,73.0,53.9,74.3,52.8,74.5,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:23:33,49.9,76.3,54.7,73.6,56.2,72.3,57.4,72.0,56.7,73.0,53.9,74.3,52.8,74.5,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:23:39,49.9,76.5,54.7,73.6,56.2,72.3,57.4,72.0,56.7,73.0,53.9,74.3,52.8,74.5,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:24:08,49.9,76.5,54.7,73.6,56.2,72.3,57.4,72.0,56.7,73.0,53.9,74.3,52.8,74.5,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:24:09,50.0,76.5,54.6,73.6,56.2,72.3,57.3,72.0,56.7,73.0,53.9,74.3,52.8,74.5,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:24:31,50.0,76.5,54.6,73.6,56.2,72.3,57.3,72.0,56.7,73.0,53.9,74.3,52.8,74.5,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:24:40,50.1,76.5,54.6,73.6,56.2,72.3,57.3,72.0,56.7,73.0,53.9,74.5,52.8,74.5,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:24:46,50.1,76.5,54.6,73.6,56.2,72.3,57.3,72.0,56.7,73.0,53.9,74.5,52.8,74.5,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:25:10,49.9,76.5,54.6,73.6,56.2,72.5,57.3,72.1,56.7,73.0,53.9,74.3,52.8,74.6,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:25:13,49.9,76.5,54.6,73.6,56.2,72.5,57.3,72.1,56.7,73.0,53.9,74.3,52.8,74.6,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:25:38,49.9,76.5,54.6,73.6,56.2,72.5,57.3,72.0,56.7,73.0,53.9,74.5,52.8,74.6,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:25:40,50.0,76.5,54.5,73.8,56.2,72.5,57.3,72.0,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:25:53,50.0,76.5,54.5,73.8,56.2,72.5,57.3,72.0,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:26:10,50.0,76.5,54.5,73.8,56.2,72.3,57.3,72.1,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:26:25,50.0,76.5,54.5,73.8,56.2,72.3,57.3,72.1,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:26:37,50.0,76.6,54.5,73.8,56.3,72.5,57.3,72.1,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:26:40,49.8,76.6,54.5,73.8,56.3,72.5,57.3,72.1,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:27:07,49.8,76.6,54.4,73.8,56.3,72.5,57.3,72.1,56.7,73.0,53.9,74.5,52.8,74.7,56.5,72.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:27:10,49.9,76.8,54.4,73.8,56.3,72.5,57.2,72.1,56.7,73.2,53.9,74.7,52.8,74.7,56.5,72.7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:27:32,49.9,76.8,54.4,73.8,56.3,72.5,57.2,72.1,56.7,73.2,53.9,74.7,52.8,74.7,56.5,72.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:27:40,50.0,76.8,54.5,73.9,56.3,72.5,57.3,72.1,56.7,73.2,53.9,74.7,52.8,74.7,56.5,72.7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
